k,n_features,time_kmer,time_hclust,time_rf
1,4,40.57448363304138,40.66012740135193,1.0671582221984863
2,16,47.68084645271301,47.780428886413574,1.0933899879455566
3,64,49.95540261268616,50.112539291381836,1.1504099369049072
4,256,52.76579284667969,53.14940333366394,1.2678911685943604
5,1024,56.300955057144165,57.6040997505188,1.5355336666107178
6,4096,58.84323072433472,63.84649300575256,2.0453720092773438
7,16384,62.7230167388916,82.43743777275085,3.462024211883545
8,65536,67.3864369392395,146.82653832435608,6.304446458816528
9,262144,78.83842325210571,368.6133613586426,12.055055618286133
10,1048576,91.95524191856384,796.6635162830353,18.669244289398193
11,4194285,98.69856452941895,1258.3354969024658,18.35283350944519
12,16217487,101.22155499458313,2203.394186258316,43.20449995994568
13,39460968,105.16058397293091,4051.8818962574005,87.40649080276489
14,54254328,110.65982508659363,5614.102710723877,170.18494629859924
15,59025820,109.2553346157074,6183.364017963409,179.42853236198425
